method,mechanism,rate,seed,n_test_patients,shap_rmse,lime_mean_rho,lime_median_rho,lime_n_valid,lime_n_invalid
KNN,MCAR,0.3,43,60,0.013303805646173736,0.8614468864468863,0.8598901098901098,60,0
KNN,MCAR,0.3,44,60,0.0184499397198877,0.8909340659340658,0.901098901098901,60,0
KNN,MCAR,0.3,45,60,0.01831360830197038,0.9340659340659341,0.9395604395604396,60,0
KNN,MCAR,0.3,46,60,0.028161890396412714,0.8924908424908425,0.8956043956043955,60,0
KNN,MCAR,0.3,47,60,0.024781154673019747,0.8305860805860804,0.8296703296703297,60,0
KNN,MCAR,0.3,48,60,0.030842121279910165,0.867765567765568,0.8846153846153846,60,0
KNN,MCAR,0.3,49,60,0.02576473807291509,0.918040293040293,0.9258241758241759,60,0
KNN,MNAR,0.1,42,60,0.011594068082960237,0.8878205128205127,0.8983516483516483,60,0
KNN,MNAR,0.1,43,60,0.013843405445082531,0.9265567765567766,0.9340659340659341,60,0
KNN,MNAR,0.1,44,60,0.01675653311282809,0.9605311355311356,0.9642857142857142,60,0
KNN,MNAR,0.1,45,60,0.014386894181102448,0.9438644688644688,0.9505494505494506,60,0
KNN,MNAR,0.1,46,60,0.028243204669327206,0.9307692307692309,0.9340659340659341,60,0
KNN,MNAR,0.1,47,60,0.01459085602798382,0.9607142857142857,0.967032967032967,60,0
KNN,MNAR,0.1,48,60,0.02159071339631469,0.9326007326007326,0.9395604395604396,60,0
KNN,MNAR,0.1,49,60,0.012351952362087783,0.9392857142857144,0.9423076923076923,60,0
KNN,MNAR,0.2,42,60,0.03971227590013075,0.8336080586080585,0.8379120879120879,60,0
KNN,MNAR,0.2,43,60,0.028844545159660912,0.9108974358974359,0.9175824175824175,60,0
KNN,MNAR,0.2,44,60,0.01905636074663159,0.9265567765567763,0.9340659340659341,60,0
KNN,MNAR,0.2,45,60,0.025763543751381044,0.8891025641025642,0.8956043956043955,60,0
KNN,MNAR,0.2,46,60,0.03445278333561746,0.8695970695970696,0.8763736263736264,60,0
KNN,MNAR,0.2,47,60,0.02921437409497881,0.8164835164835164,0.8241758241758241,60,0
KNN,MNAR,0.2,48,60,0.0389358487329073,0.8109890109890111,0.8269230769230769,60,0
KNN,MNAR,0.2,49,60,0.03555133170487775,0.84010989010989,0.8516483516483516,60,0
KNN,MNAR,0.3,42,60,0.03457396548833337,0.8588827838827838,0.8653846153846154,60,0
KNN,MNAR,0.3,43,60,0.053785266663316775,0.7328754578754579,0.7362637362637362,60,0
KNN,MNAR,0.3,44,60,0.048004781311652665,0.7298534798534799,0.7472527472527473,60,0
KNN,MNAR,0.3,45,60,0.05064527205749397,0.6798534798534798,0.6813186813186813,60,0
KNN,MNAR,0.3,46,60,0.05495905319322297,0.6866300366300367,0.6868131868131868,60,0
KNN,MNAR,0.3,47,60,0.04838007157627957,0.7152930402930403,0.7362637362637362,60,0
KNN,MNAR,0.3,48,60,0.05860112651647467,0.7004578754578754,0.7032967032967032,60,0
KNN,MNAR,0.3,49,60,0.03679334600841195,0.7481684981684982,0.7554945054945055,60,0
MICE,MAR,0.1,42,60,0.01286461332086743,0.9605311355311357,0.9615384615384615,60,0
MICE,MAR,0.1,43,60,0.013452435099363553,0.9238095238095237,0.9340659340659341,60,0
MICE,MAR,0.1,44,60,0.02195540576852472,0.9282967032967033,0.9313186813186813,60,0
MICE,MAR,0.1,45,60,0.022269498716143574,0.926007326007326,0.9340659340659341,60,0
MICE,MAR,0.1,46,60,0.01882597696057298,0.9162087912087912,0.9175824175824175,60,0
MICE,MAR,0.1,47,60,0.012762269633985615,0.9281135531135531,0.9340659340659341,60,0
MICE,MAR,0.1,48,60,0.007362851718265033,0.9527472527472528,0.9615384615384615,60,0
MICE,MAR,0.1,49,60,0.02012739130425283,0.9507326007326007,0.9560439560439561,60,0
MICE,MAR,0.2,42,60,0.02353871673135886,0.9028388278388279,0.9065934065934067,60,0
MICE,MAR,0.2,43,60,0.016907679591634514,0.9383699633699634,0.9368131868131868,60,0
MICE,MAR,0.2,44,60,0.01589103770700387,0.906043956043956,0.9120879120879121,60,0
MICE,MAR,0.2,45,60,0.02294892479555068,0.8974358974358974,0.9038461538461539,60,0
MICE,MAR,0.2,46,60,0.02600005874601301,0.887087912087912,0.8873626373626373,60,0
MICE,MAR,0.2,47,60,0.0336399452118752,0.8201465201465202,0.8214285714285714,60,0
MICE,MAR,0.2,48,60,0.01665042117646598,0.9345238095238095,0.9395604395604396,60,0
MICE,MAR,0.2,49,60,0.027177850677290494,0.9124542124542124,0.9230769230769231,60,0
MICE,MAR,0.3,42,60,0.02848620187708425,0.8870879120879123,0.901098901098901,60,0
MICE,MAR,0.3,43,60,0.025999109514439973,0.8554029304029306,0.8681318681318682,60,0
MICE,MAR,0.3,44,60,0.032727882279861634,0.8355311355311356,0.8461538461538461,60,0
MICE,MAR,0.3,45,60,0.032141170057675396,0.8713369963369965,0.8818681318681318,60,0
MICE,MAR,0.3,46,60,0.027458178475735864,0.9284798534798535,0.9340659340659341,60,0
MICE,MAR,0.3,47,60,0.038059699034385885,0.8010073260073259,0.8021978021978022,60,0
MICE,MAR,0.3,48,60,0.02253410105675056,0.8367216117216117,0.8351648351648352,60,0
MICE,MAR,0.3,49,60,0.03037334028433106,0.8677655677655676,0.8736263736263737,60,0
MICE,MCAR,0.1,42,60,0.017005098594263367,0.948901098901099,0.9560439560439561,60,0
MICE,MCAR,0.1,43,60,0.015067752417132917,0.9322344322344324,0.9340659340659341,60,0
MICE,MCAR,0.1,44,60,0.013941704853855055,0.9617216117216116,0.967032967032967,60,0
MICE,MCAR,0.1,45,60,0.019647157649117793,0.9389194139194139,0.9395604395604396,60,0
MICE,MCAR,0.1,46,60,0.010716986208089552,0.9545787545787546,0.9560439560439561,60,0
MICE,MCAR,0.1,47,60,0.010242210252366409,0.9666666666666667,0.9725274725274725,60,0
MICE,MCAR,0.1,48,60,0.014086888307350593,0.9264652014652014,0.9285714285714285,60,0
MICE,MCAR,0.1,49,60,0.010276271408137055,0.9053113553113553,0.9148351648351648,60,0
MICE,MCAR,0.2,42,60,0.027593320427729977,0.9127289377289377,0.9148351648351648,60,0
MICE,MCAR,0.2,43,60,0.030610727737650268,0.8726190476190477,0.8818681318681318,60,0
